customerID,DeviceProtection_No internet service,OnlineBackup_No internet service,OnlineSecurity_No internet service,InternetService_No,InternetService_Fiber optic,TechSupport_No,OnlineSecurity_No,PaymentMethod_Electronic check,Contract_Two year,Contract_Month-to-month,churn,MonthlyCharges,tenure
9305-CDSKC,0,0,0,0,1,1,1,1,0,1,1,99.65,8
1452-KIOVK,0,0,0,0,1,1,1,0,0,1,0,89.1,22
7892-POOKP,0,0,0,0,1,0,1,1,0,1,1,104.8,28
8091-TTVAX,0,0,0,0,1,1,1,0,0,0,0,100.35,58
0280-XJGEX,0,0,0,0,1,1,1,0,0,1,1,103.7,49
5129-JLPIS,0,0,0,0,1,0,0,1,0,1,0,105.5,25
3655-SNQYZ,0,0,0,0,1,0,0,0,1,0,0,113.25,69
9959-WOFKT,0,0,0,0,1,1,0,0,1,0,0,106.7,71
4183-MYFRB,0,0,0,0,1,1,1,1,0,1,0,90.05,21
6467-CHFZW,0,0,0,0,1,1,1,1,0,1,1,99.35,47
5248-YGIJN,0,0,0,0,0,0,0,0,1,0,0,90.25,72
3841-NFECX,0,0,0,0,1,0,0,0,1,0,0,96.35,71
4929-XIHVW,0,0,0,0,1,1,1,0,0,1,0,95.5,2
6234-RAAPL,0,0,0,0,1,0,0,0,1,0,0,99.9,72
5380-WJKOV,0,0,0,0,1,1,1,1,0,1,1,106.35,34
8168-UQWWF,0,0,0,0,1,1,1,0,0,1,1,97.85,11
4671-VJLCL,0,0,0,0,0,0,0,0,1,0,0,79.85,63
4080-IIARD,0,0,0,0,0,0,0,1,0,1,0,76.2,13
3714-NTNFO,0,0,0,0,1,1,1,1,0,1,0,84.5,49
7760-OYPDY,0,0,0,0,1,1,1,1,0,1,1,80.65,2
7639-LIAYI,0,0,0,0,0,0,0,0,1,0,0,79.75,52
8012-SOUDQ,0,0,0,0,1,1,1,1,0,1,0,90.25,43
9420-LOJKX,0,0,0,0,1,1,0,0,0,1,1,99.1,15
7495-OOKFY,0,0,0,0,1,1,1,0,0,1,1,80.65,8
1658-BYGOY,0,0,0,0,1,1,1,1,0,1,1,95.45,18
8769-KKTPH,0,0,0,0,1,1,0,0,0,0,0,99.65,63
5067-XJQFU,0,0,0,0,1,0,1,1,0,0,0,108.45,66
